序号,文件,相关度,相关度分值,职位,招聘主体,薪资,学历,招聘人数,专业,地区,更新时间,所属行业,公司性质,公司规模,技术关键词,同模板条数,JD指纹,详情页
67,67-新媒体运营专员-浙江菱格木业有限公司.md,直接相关,10,新媒体运营专员,浙江菱格木业有限公司,4k-6k,专科及以上,招聘 2人,新闻学,浙江省湖州市,06-08 10:39,家居/室内设计/装饰装潢,民营企业,500-999人,,1,aeea810de795,https://www.ncss.cn/student/jobs/53paqLh1nkACukahLA67iH/detail.html
68,68-线上运营专员-陕西圆梦工场科技有限公司.md,直接相关,10,线上运营专员,陕西圆梦工场科技有限公司,3k-5k,本科及以上,招聘 10人,没有限制,全国,06-29 17:39,计算机软件,民营企业,100-499人,,1,0736748ab33b,https://www.ncss.cn/student/jobs/6PV6UiKjWzftFVqELBePfP/detail.html
69,69-新媒体运营（实习生）-北京靠岸文化传媒有限公司.md,直接相关,10,新媒体运营（实习生）,北京靠岸文化传媒有限公司,3k-4k,专科及以上,招聘 3人,媒体、中文、市场营销等相关专业优先,北京市丰台区,07-28 10:37,媒体/出版/影视/文化传播,民营企业,1-49人,,1,e5a4bc000371,https://www.ncss.cn/student/jobs/4hLijN9gq14hgPQkfcoPHb/detail.html
70,70-东南亚电商运营-广州引力之外供应链管理有限公司.md,直接相关,10,东南亚电商运营,广州引力之外供应链管理有限公司,6k-8k,本科及以上,招聘 人数不限,专业不限,广东省广州市,07-14 16:30,贸易/进出口,外商独资/外企代表处,1-49人,,1,639fa8170003,https://www.ncss.cn/student/jobs/LhtnBaTnP2xoezg1QNGpjo/detail.html
71,71-短视频运营-河南浪之潮农业科技有限公司.md,直接相关,10,短视频运营,河南浪之潮农业科技有限公司,4k-6k,本科及以上,招聘 2人,农业相关,河南省郑州市,06-05 15:25,农/林/牧/渔,民营企业,50-99人,,1,3cf1cd309ffa,https://www.ncss.cn/student/jobs/3qGPD8QJRcasUHB8RdLYFW/detail.html
72,72-新媒体运营（线上）-国聘（成都）企业管理服务有限责任公司.md,直接相关,10,新媒体运营（线上）,国聘（成都）企业管理服务有限责任公司,3k-6k,本科及以上,招聘 10人,专业不限,全国,07-26 21:12,中介服务,股份制企业,100-499人,,1,f5f8968e5614,https://www.ncss.cn/student/jobs/2pw5XjUdvpVj768TcRUUyo/detail.html
73,73-新媒体运营（可实习）-贵州韩健金方苗药有限公司.md,直接相关,10,新媒体运营（可实习）,贵州韩健金方苗药有限公司,5k-8k,不限,招聘 10人,不限,贵州省贵阳市,08-04 09:41,制药/生物工程,民营企业,100-499人,,1,83296dcfb780,https://www.ncss.cn/student/jobs/66BnCeQPK2uwusUXbd4tvi/detail.html
74,74-新媒体运营助理-青岛市李沧区星河艺术培训学校有限公司.md,直接相关,10,新媒体运营助理,青岛市李沧区星河艺术培训学校有限公司,4k-6k,专科及以上,招聘 6人,专业不限,山东省青岛市,08-03 08:39,教育/培训/院校,民营企业,50-99人,,1,f7915a7c41ad,https://www.ncss.cn/student/jobs/9UPVUtb6duxKSMAH9CyTtY/detail.html
75,75-媒介助理（2027届）-露乐健康科技（上海）有限公司.md,直接相关,10,媒介助理（2027届）,露乐健康科技（上海）有限公司,3k-5k,本科及以上,招聘 3人,新闻 广告等相关专业,上海市闵行区,07-20 15:40,快速消费品（食品/饮料/日化/烟酒）,民营企业,1000-4999人,,1,1d8b535294dd,https://www.ncss.cn/student/jobs/RjiaDsvZk4sQcDAp5AXuHB/detail.html
76,76-短视频运营-东莞市玮创电子设备有限公司.md,直接相关,10,短视频运营,东莞市玮创电子设备有限公司,4k-10k,专科及以上,招聘 2人,专业不限,广东省东莞市,06-25 10:38,机械制造/机电/重工,民营企业,1-49人,,1,fcf295f1ae00,https://www.ncss.cn/student/jobs/8ETVGWPkwBzz3JNTaCWa6F/detail.html
77,77-文员.电商运营，外贸业务员-山东蓝菲家居科技有限公司.md,直接相关,9,文员.电商运营，外贸业务员,山东蓝菲家居科技有限公司,2k-6k,专科及以上,招聘 5人,专业不限,山东省枣庄市市中区,08-03 12:14,贸易/进出口,民营企业,1-49人,,1,07387d63b0b3,https://www.ncss.cn/student/jobs/4PBdd7aXUHEQJtvidWpUcu/detail.html
78,78-跨境电商运营助理（AI赋能方向）-湖南玖逸跨境网络科技有限公司.md,直接相关,9,跨境电商运营助理（AI赋能方向）,湖南玖逸跨境网络科技有限公司,5k-7k,专科及以上,招聘 8人,电子商务、国际贸易、商务英语、市场营销、计算机类等相关专业优先,湖南省长沙市,06-26 15:39,计算机服务（系统/数据/维护/安全）,民营企业,1-49人,,1,67758bb411cb,https://www.ncss.cn/student/jobs/7V6VjyVUgoPrdqz1oxYmJt/detail.html
79,79-电商运营储备干部（核心人才培养方向）-南京和瑟电子科技有限公司.md,直接相关,9,电商运营储备干部（核心人才培养方向）,南京和瑟电子科技有限公司,9k-15k,本科及以上,招聘 5人,专业不限,江苏省南京市江宁区,06-11 14:31,计算机硬件,民营企业,100-499人,,1,b3cb223f4e5b,https://www.ncss.cn/student/jobs/N7kQe2ccgyGuBAZ6dmHh55/detail.html
80,80-跨境电商运营-如喆（上海）信息科技有限公司.md,直接相关,9,跨境电商运营,如喆（上海）信息科技有限公司,6k-8k,本科及以上,招聘 2人,专业不限,广东省广州市天河区,07-13 11:22,互联网/电子商务,民营企业,100-499人,,1,0b358d6cb5bd,https://www.ncss.cn/student/jobs/AxfCbprrDmxLWYrJ1i7jz9/detail.html
81,81-IP运营专员-上海云汇创智文化有限公司.md,直接相关,9,IP运营专员,上海云汇创智文化有限公司,8k-15k,本科及以上,招聘 1人,表演 戏剧影视文学 戏剧影视导演 播音与主持艺术 广播电视编导 音乐表演 音乐剧 艺术管理 数字媒体艺术 影视制作 舞台设计 文化创意 文旅管理 商务 行政 公共关系学 文学 工商管理,上海市虹口区,07-30 10:59,媒体/出版/影视/文化传播,民营企业,1-49人,,1,d0a090507b66,https://www.ncss.cn/student/jobs/HGvYZ1hBCWyTY2WMY7VbZw/detail.html
82,82-社群运营-广州市天河区晓晓星火教育培训中心有限公司.md,直接相关,9,社群运营,广州市天河区晓晓星火教育培训中心有限公司,4k-5k,本科及以上,招聘 5人,专业不限,广东省广州市,07-30 16:55,教育/培训/院校,民营企业,100-499人,,1,1ba2ef0db91c,https://www.ncss.cn/student/jobs/BevbS3wnjsnzbVfFFJK2eW/detail.html
83,83-运营专员-浙江菱格木业有限公司.md,直接相关,9,运营专员,浙江菱格木业有限公司,4k-6k,专科及以上,招聘 2人,电商运营 新闻学 广告学,浙江省湖州市,06-08 10:37,家居/室内设计/装饰装潢,民营企业,500-999人,,1,2042e5900d07,https://www.ncss.cn/student/jobs/S5UbQp7rzqFZTf6QRqZosU/detail.html
84,84-运营专员-河南善水环保工程有限公司.md,直接相关,9,运营专员,河南善水环保工程有限公司,3k-7k,不限,招聘 2人,专业不限,河南省鄢陵县,06-15 09:55,电气/电力/水利,民营企业,50-99人,,1,850e2f485ae8,https://www.ncss.cn/student/jobs/XSdAh9iTjFQ6dmdWpSZ8pE/detail.html
85,85-游戏解说与运营专员-南京闪月星传媒有限公司.md,直接相关,9,游戏解说与运营专员,南京闪月星传媒有限公司,4k-10k,专科及以上,招聘 2人,不限专业,浙江省嘉兴市,07-06 19:19,互联网/电子商务,民营企业,50-99人,,1,87b541f360d3,https://www.ncss.cn/student/jobs/V22NzLDg9meM62RASWyM6v/detail.html
86,86-运营专员（视频制作素材支持方向）-东莞固德口腔科技集团有限公司.md,直接相关,9,运营专员（视频制作/素材支持方向）,东莞固德口腔科技集团有限公司,5k-7k,专科及以上,招聘 1人,专业不限,广东省东莞市,06-23 10:16,医疗/护理/卫生服务,民营企业,500-999人,,1,7214e4ff8a99,https://www.ncss.cn/student/jobs/RtMHzNxjSbSE35NWjTKf5/detail.html
87,87-市场营销专员-上海有泊网络科技有限公司.md,直接相关,9,市场营销专员,上海有泊网络科技有限公司,4k-8k,专科及以上,招聘 3人,专科及以上,上海市徐汇区,06-16 09:58,互联网/电子商务,股份制企业,1-49人,,1,efcd2a76a459,https://www.ncss.cn/student/jobs/D7oDkDziisY56rApgwd728/detail.html
